image_name,colour_rank,hex,red,green,blue,lab_l,lab_a,lab_b
sea_001.jpg,1,#012F44,1,47,68,17.56,-5.59,-17.34
sea_001.jpg,2,#17B4D7,23,180,215,67.71,-24.78,-28.23
sea_001.jpg,3,#02445F,2,68,95,26.54,-7.58,-21.29
sea_001.jpg,4,#42D2EB,66,210,235,77.89,-29.46,-23.41
sea_001.jpg,5,#1395B5,19,149,181,56.89,-20.58,-25.75
sea_001.jpg,6,#187899,24,120,153,47.0,-14.88,-24.86
sea_001.jpg,7,#0A98C9,10,152,201,58.74,-15.56,-34.54
sea_001.jpg,8,#0479AC,4,121,172,47.98,-9.16,-34.9
sea_001.jpg,9,#145D77,20,93,119,36.56,-11.86,-20.72
sea_001.jpg,10,#055B85,5,91,133,36.44,-6.49,-29.59
sea_002.jpg,1,#034C76,3,76,118,30.58,-2.81,-29.86
sea_002.jpg,2,#14789C,20,120,156,46.98,-13.79,-26.81
sea_002.jpg,3,#06638D,6,99,141,39.38,-8.18,-29.61
sea_002.jpg,4,#022344,2,35,68,13.41,3.11,-24.09
sea_002.jpg,5,#1A94B6,26,148,182,56.76,-19.29,-26.66
sea_002.jpg,6,#023761,2,55,97,22.24,2.11,-29.47
sea_002.jpg,7,#2AB6D3,42,182,211,68.5,-25.91,-24.88
sea_002.jpg,8,#155674,21,86,116,34.32,-8.82,-22.73
sea_002.jpg,9,#0E354E,14,53,78,20.85,-3.8,-19.05
sea_002.jpg,10,#5AD8EB,90,216,235,80.31,-29.15,-19.68
sea_003.jpg,1,#073444,7,52,68,19.82,-8.39,-13.76
sea_003.jpg,2,#044E5A,4,78,90,29.91,-15.36,-13.06
sea_003.jpg,3,#065C67,6,92,103,35.23,-18.43,-12.8
sea_003.jpg,4,#064150,6,65,80,25.09,-11.86,-13.78
sea_003.jpg,5,#0B6A74,11,106,116,40.75,-21.32,-12.4
sea_003.jpg,6,#0A787F,10,120,127,45.7,-24.61,-11.77
sea_003.jpg,7,#108B8E,16,139,142,52.3,-28.59,-10.66
sea_003.jpg,8,#517F86,81,127,134,50.42,-13.95,-8.79
sea_003.jpg,9,#125F98,18,95,152,38.81,-0.14,-37.52
sea_003.jpg,10,#77B8D0,119,184,208,71.52,-14.73,-18.62
sea_004.jpg,1,#212A3E,33,42,62,17.22,2.46,-14.1
sea_004.jpg,2,#1D253E,29,37,62,15.16,4.41,-16.7
sea_004.jpg,3,#242E49,36,46,73,19.41,3.91,-17.66
sea_004.jpg,4,#334056,51,64,86,26.98,1.2,-14.97
sea_004.jpg,5,#2A354A,42,53,74,21.98,1.7,-14.26
sea_004.jpg,6,#2D3954,45,57,84,24.06,3.19,-17.94
sea_004.jpg,7,#475672,71,86,114,36.48,1.62,-17.45
sea_004.jpg,8,#3E4C63,62,76,99,32.04,0.84,-15.37
sea_004.jpg,9,#394663,57,70,99,29.92,2.86,-18.52
sea_004.jpg,10,#596680,89,102,128,43.15,1.31,-16.09
sea_005.jpg,1,#012C3D,1,44,61,16.14,-6.9,-14.62
sea_005.jpg,2,#01313E,1,49,62,18.19,-9.5,-12.69
sea_005.jpg,3,#013748,1,55,72,20.68,-8.84,-15.48
sea_005.jpg,4,#013246,1,50,70,18.85,-6.47,-17.15
sea_005.jpg,5,#013E4D,1,62,77,23.52,-11.22,-14.47
sea_005.jpg,6,#013F55,1,63,85,24.3,-8.48,-18.65
sea_005.jpg,7,#01495C,1,73,92,28.09,-12.08,-16.76
sea_005.jpg,8,#01566C,1,86,108,33.61,-13.59,-18.9
sea_005.jpg,9,#014E67,1,78,103,30.38,-10.62,-20.4
sea_005.jpg,10,#01647C,1,100,124,38.7,-15.28,-20.5
sea_006.jpg,1,#023B65,2,59,101,23.81,1.01,-29.46
sea_006.jpg,2,#012951,1,41,81,16.39,4.45,-27.87
sea_006.jpg,3,#034B73,3,75,115,30.3,-4.04,-28.18
sea_006.jpg,4,#011A44,1,26,68,10.37,9.73,-28.96
sea_006.jpg,5,#05628C,5,98,140,39.09,-8.09,-29.59
sea_006.jpg,6,#077AA6,7,122,166,47.85,-11.5,-31.68
