rank,hex,red,green,blue,hue,saturation,brightness,raw_weight,frequency_percent,sample_count,lab_l,lab_a,lab_b,weight_rank
1,#3BA0D3,59,160,211,199.9886,71.7876,82.5826,8.7054,8.7054,122,62.3729,-12.6656,-34.062,7
2,#295D91,41,93,145,209.6221,71.7743,56.7481,7.4671,7.4671,107,38.5629,0.4362,-33.3311,8
3,#3486DC,52,134,220,210.8006,76.3116,86.3472,13.2367,13.2367,137,55.0097,4.9439,-51.0354,1
4,#0B6BD8,11,107,216,211.9965,95.027,84.7839,11.3901,11.3901,104,46.2783,17.4612,-62.8477,3
5,#06285C,6,40,92,216.4516,93.8162,36.1318,7.0994,7.0994,78,17.0065,11.3081,-34.6701,10
6,#10459B,16,69,155,217.1642,89.6885,60.7115,10.3948,10.3948,104,31.1183,18.0862,-51.4277,6
7,#024ED0,2,78,208,217.9007,99.1501,81.4506,11.5555,11.5555,106,37.7393,32.8151,-71.8968,2
8,#021768,2,23,104,227.6935,98.311,40.9466,11.374,11.374,92,13.3781,28.5891,-48.7487,5
9,#001D94,0,29,148,228.5754,99.6806,58.0164,11.3793,11.3793,94,20.0251,41.26,-65.4614,4
10,#011CD0,1,28,208,232.043,99.6298,81.6105,7.3977,7.3977,56,27.8601,60.5528,-88.4808,9
