rank,hex,red,green,blue,lab_l,lab_a,lab_b,hue,saturation,brightness
1,#0D314F,13,49,79,19.55,-0.83,-21.8,206.97,83.42,30.98
2,#244454,36,68,84,27.2,-6.74,-12.93,199.59,56.9,32.83
3,#2B5D83,43,93,131,37.65,-3.78,-26.26,206.14,67.02,51.25
4,#487A8C,72,122,140,48.46,-11.57,-15.16,196.09,48.65,54.96
5,#075098,7,80,152,34.03,9.03,-45.12,210.0,95.16,59.68
6,#012A9A,1,42,154,23.65,35.37,-63.26,223.8,99.68,60.43
7,#4BA7B7,75,167,183,63.75,-22.36,-16.7,189.09,59.26,71.89
8,#6495C8,100,149,200,60.25,-2.37,-31.32,210.42,50.13,78.43
9,#95B2CE,149,178,206,71.24,-3.48,-17.5,209.52,27.79,80.73
10,#105CF4,16,92,244,44.65,37.76,-81.2,220.0,93.44,95.69
